nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [2-1]", device 2, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Hello world!
1,0, 0
2,11599, 11868
3,11741, 11999
4,11340, 12145
5,11990, 10225
6,12124, 12394
7,12189, 12508
8,8224, 12596
9,12428, 12716
10,12501, 12803
11,12545, 12878
12,12650, 12950
13,12704, 13008
14,12752, 13059
15,12743, 13096
16,12309, 13133
17,12805, 13156
18,12818, 13159
19,12815, 13162
20,12813, 13150
21,12809, 13128
22,12509, 13103
23,12692, 13059
24,12684, 13011
25,12609, 12951
26,12541, 12881
27,12463, 12811
28,12374, 12708
29,12289, 12621
30,9989, 12511
31,12032, 12389
32,11948, 12280
33,11785, 12130
34,11421, 12008
35,11526, 11861
36,11384, 11707
37,11093, 11555
38,11013, 11389
39,10893, 11223
40,10452, 11042
41,10501, 10865
42,10352, 10685
43,9137, 10498
44,9980, 8267
45,9779, 10125
46,9337, 9929
47,9400, 9739
48,9206, 9543
49,9023, 9354
50,8820, 9166
51,8365, 8959
52,8417, 8758
53,8207, 8546
54,1881, 8345
55,7837, 8150
56,7380, 7695
57,7426, 7766
58,7280, 7573
59,7101, 7401
60,6920, 7222
61,6757, 6799
62,6337, 6889
63,6412, 6725
64,6288, 6582
65,6152, 6418
66,6020, 6287
67,5884, 6156
68,5764, 6035
69,5653, 5666
70,5269, 5805
71,5452, 5192
72,5362, 5615
73,5289, 5539
74,5221, 5470
75,5159, 5132
76,5099, 5349
77,5060, 5305
78,5004, 5256
79,5003, 5240
80,5006, 5215
81,4997, 5218
82,5004, 5222
83,5015, 5223
84,5046, 5265
85,5091, 5290
86,5132, 5347
87,5188, 5397
88,5256, 5455
89,5331, 5537
90,5379, 5598
91,5494, 5709
92,5604, 5805
93,5712, 5910
94,5820, 6033
95,5948, 6150
96,6092, 6274
97,4169, 6421
98,6336, 6569
99,6516, 6714
100,6684, 6880
101,6844, 6787
102,7009, 7224
103,7188, 7382
104,7373, 7312
105,7544, 7758
106,7728, 7948
107,7935, 8143
108,8126, 8324
109,123, 8288
110,8524, 8747
111,8705, 8941
112,8907, 8886
113,9095, 9335
114,9295, 9530
115,9497, 9721
116,9689, 9915
117,9885, 10113
118,10069, 10305
119,8215, 10491
120,10445, 10422
121,10624, 10857
122,10816, 11044
123,10979, 11210
124,11145, 11380
125,11305, 11548
126,11453, 11705
