nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 2, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Hello world!

 ** Version: 18070400 ** 

1,0,0
2,6036,5033
3,4100,5172
4,6310,5305
5,6466,5452
6,6626,5561
7,6806,5779
8,6964,5956
9,7140,6132
10,7330,6306
11,7517,6435
12,7695,6677
13,7892,6822
14,8064,7078
15,96,7214
16,8485,7485
17,8673,7680
18,8873,7866
19,9068,8074
20,9267,8211
21,9470,8471
22,9678,8605
23,9860,8866
24,10060,9012
25,8204,9255
26,10447,9378
27,10613,9626
28,10800,9747
29,10977,9991
30,11139,10145
31,11309,10327
32,11467,10493
33,11608,10647
34,11725,10807
35,11883,10939
36,12021,11008
37,12128,11197
38,12243,11320
39,8254,11432
40,12433,11529
41,12531,11560
42,12595,11708
43,12665,11774
44,12733,11851
45,12776,11837
46,12811,11949
47,12847,11988
48,12865,11940
49,12877,12036
50,12861,12025
51,12862,12022
52,12843,12012
53,12811,11914
54,12772,11950
55,12706,11894
56,12663,11849
57,12577,11790
58,12500,11714
59,12418,11634
60,12328,11535
61,12221,11434
62,12116,11322
63,11985,11207
64,11863,11085
65,11717,10882
66,11572,10798
67,11433,10660
68,11262,10492
69,11104,10276
70,10930,10168
71,10762,9998
72,10581,9762
73,10241,9638
74,10207,9396
75,10006,9265
76,9809,9009
77,9625,8880
78,9424,8623
79,9236,8490
80,9045,8221
81,8723,8102
82,8653,7841
83,8440,7689
84,8233,7491
85,3948,7291
86,7726,7080
87,7654,6821
88,7460,6701
89,7280,6444
90,7109,6320
91,6932,6137
92,6724,5972
93,6596,5794
94,6435,5632
95,6279,5471
96,6135,5261
97,6002,5180
98,5877,5048
99,5751,4924
100,5633,4789
101,5532,4678
102,5435,4571
103,5332,4483
104,5250,4387
105,5194,4230
106,5123,4244
107,5069,4117
108,5029,39
109,5004,4088
110,4969,4056
111,4950,3980
112,4951,4023
113,4933,4031
114,4973,4044
115,5008,4058
116,5047,4094
117,5079,4130
118,5134,4118
119,5203,4232
120,5250,4232
121,5361,4386
122,5441,4474
123,5551,4569
124,5668,4677
125,5763,4781
126,5899,4915
127,6033,5036
128,4096,5170
129,6304,5312
130,6473,5452
131,6632,5617
132,6803,5792
133,6971,5958
134,7141,6127
135,7328,6312
136,7513,6432
137,7697,6685
138,7872,6824
139,8082,7081
140,94,7218
