nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 2, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Hello world!

 ** Version: 18070400 ** 

1,0,0
2,5725,5123
3,5984,5401
4,6252,5714
5,6572,6031
6,6893,6412
7,7262,6799
8,7622,7176
9,8016,7566
10,8397,7966
11,8801,8391
12,9204,8787
13,9594,9173
14,9981,9554
15,10358,9916
16,10723,10260
17,11063,10582
18,11387,10881
19,11685,11151
20,11971,11394
21,12205,11602
22,12405,11764
23,12576,11894
24,12727,11986
25,12825,12052
26,12887,12057
27,12888,12038
28,12871,11955
29,12824,11848
30,12720,11684
31,12575,11520
32,12391,11297
33,12191,11047
34,11948,10766
35,11675,10461
36,11371,10134
37,11044,9768
38,10690,9395
39,10340,9018
40,9959,8624
41,9577,8218
42,9177,7803
43,8774,7404
44,8366,7021
45,7989,6636
46,7603,6269
47,7233,5918
48,6886,5590
49,6549,5274
50,6243,5015
51,5966,4761
52,5719,4556
53,5493,4367
54,5321,4229
55,5166,4100
56,5071,4062
57,4988,4048
58,4969,4061
59,4975,4119
60,5032,4217
61,5112,4356
62,5251,4524
63,5412,4741
64,5614,4981
65,5848,5251
66,6113,5557
67,6412,5885
68,6731,6230
69,7078,6610
70,7429,6978
71,7819,7365
72,8195,7760
73,8603,8181
74,9002,8586
75,9411,8983
76,9791,9368
77,10162,9739
78,10535,10092
79,10897,10425
80,11231,10711
81,11540,11027
82,11824,11275
83,12085,11495
84,12316,11690
85,12497,11846
86,12654,11952
87,12767,12019
88,12856,12054
89,12895,12049
90,12891,11999
91,12845,11911
92,12764,11774
93,12654,11611
94,12500,11415
95,12305,11181
96,12066,10913
97,11806,10616
98,11528,10293
99,11221,9951
100,10875,9590
101,10517,9217
102,10140,8822
103,9775,8420
104,9382,8015
105,8983,7574
106,8559,7215
107,8186,6826
108,7796,6450
109,7423,6092
110,7046,5757
111,6716,5433
112,6396,5144
113,6104,4875
114,5841,4654
115,5606,4451
116,5409,4294
117,5235,4169
118,5113,4090
119,5023,4052
120,4977,4045
121,4959,4080
122,5001,4164
123,5061,4282
124,5189,4431
125,5321,4636
126,5511,4852
127,5732,5120
128,5983,5399
129,6259,5719
130,6570,6030
131,6905,6417
132,7254,6788
133,7626,7174
134,8004,7567
135,8395,7965
136,8792,8387
137,9212,8786
138,9599,9180
139,9983,9553
