nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 2, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Hello world!

 ** Version: 18070500 ** 

1,0,0
2,8950,9241
3,8939,9246
4,8945,9245
5,8937,9243
6,8947,9220
7,8945,9241
8,8949,9243
9,8940,9245
10,8935,9243
11,8944,9241
12,8946,9245
13,8943,9241
14,8940,9242
15,8942,9242
16,8938,9248
17,8948,9238
18,8942,9243
19,8944,9243
20,8941,9242
21,8952,9243
22,8941,9235
23,8944,9245
24,8937,9243
25,8945,9241
26,8945,9239
27,8943,9242
28,8938,9248
29,8944,9244
30,8944,9241
31,8941,9222
32,8945,9239
33,8933,9239
34,8941,9242
35,8932,9242
36,8948,9238
37,8943,9245
38,8943,9248
39,8937,9242
40,8950,9243
41,8942,9247
42,8944,9244
43,8937,9245
44,8947,9240
45,8946,9244
46,8948,9240
47,8940,9241
48,8940,9242
49,8945,9237
50,8943,9243
51,8947,9243
52,8935,9246
53,8940,9245
54,8942,9245
55,8948,9238
56,8940,9221
57,8943,9247
58,8940,9239
59,8951,9242
60,8940,9243
61,8942,9246
62,8937,9246
63,8944,9241
64,8945,9242
65,8945,9245
66,8940,9247
67,8943,9246
68,8943,9239
69,8944,9243
70,8945,9240
71,8939,9244
72,8941,9238
73,8940,9242
74,8950,9239
75,8940,9245
76,8944,9242
77,8938,9239
78,8949,9243
79,8943,9242
80,8943,9244
81,8937,9220
82,8942,9242
83,8945,9240
84,8948,9246
85,8942,9244
86,8940,9248
87,8945,9240
88,8941,9242
89,8952,9240
90,8941,9247
91,8942,9250
92,8938,9241
93,8944,9243
94,8939,9246
95,8944,9246
96,8933,9243
97,8947,9232
98,8948,9243
99,8944,9246
100,8937,9245
101,8940,9250
102,8948,9238
103,8946,9251
104,8945,9245
105,8939,9244
106,8943,9217
107,8944,9241
108,8944,9241
109,8938,9244
110,8941,9245
111,8939,9241
112,8953,9241
113,8942,9242
114,8944,9244
115,8937,9245
116,8947,9246
117,8949,9242
118,8947,9244
119,8939,9245
120,8941,9247
121,8944,9236
122,8944,9242
123,8942,9243
124,8938,9245
125,8942,9241
126,8942,9244
127,8947,9239
128,8938,9249
129,8945,9246
130,8938,9238
131,8952,9219
132,8942,9242
133,8941,9246
134,8939,9243
135,8943,9246
136,8945,9242
137,8946,9245
138,8941,9242
139,8944,9247
